origin_tweet_full_text,retweet_count
WASPADA VIRUS NIPAH!  Virus nipah dimasukkan WHO dlm daftar panjang patogen yg dapat menyebabkan darurat kesehatan masyarakat.   Virus ini disingkat dengan nama NiV dan dapat menyebabkan kematian di antara 40-75% jauh lebih mematikan dari Covid-19.  https://t.co/rTPjCDUJQ5 https://t.co/ySPCXdpWct,16
Panglima TNI: Pandemi Covid Belum Dapat Dikendalikan https://t.co/HUXLdsHLyj,16
"Hingga saat ini, sdh ada 8 negara telah melaporkan adanya temuan varian baru virus corona yg muncul di negaranya. Selain gejala umum Covid-19 seperti demam, batuk kering, dan hilangnya indra penciuman dan perasa, ada 7 gejala lain yg dikaitkan dng varian baru corona @KemenkesRI https://t.co/YC17Hf8Bqk",15
"Akibat pemukulan tersebut, Alfa harus dilarikan ke rumah sakit. https://t.co/ZoXSI9lS6Y",15
"Seperti apa fakta terkait adanya 7 relawan Vaksin Sinovac yang terinfeksi COVID-19?   Selengkapnya simak penjelasan Guru Besar FK Unpad yang juga Ketua Tim Riset Uji Klinis Vaksin COVID-19 Unpad Prof. Dr. Kusnandi Rusmil, Dr., Sp. AK. MM, berikut ini #Healthies. https://t.co/SvGNNqHgst",15
"Otak somplak. Indonesia bisa hancur klo byk orang yg seperti lu nyebar hoax!  Penyebar Hoaks Vaksin Ditangkap,Sebut Vaksin utk Hancurkan Rakyat Indonesia  Direktorat Reserse Kriminal Khusus Polda Kalbar menangkap seorang oknum pegawai honorer penyebar hoax vaksin covid-19 sinovac https://t.co/7HtWqeSfxk",15
"Di tengah pandemi, mematuhi protokol kesehatan adalah suatu kewajiban. Meskipun vaksin sudah ditemukan tapi kalau anda masih mengabaikan protokol kesehatan tetap saja bisa tertular. Warga yang masih abai protokol kesehatan, tolonglah patuhi prokes. @Je_Ly https://t.co/rqkVmIuYmK https://t.co/r44GVZHIlI",14
Sebanyak 1.168 personel gabungan TNI-Polri dikerahkan untuk melaksanakan pengamanan dan pengawalan proses distribusi Vaksin Covid-19.  #PolriKawalDistribusiVaksin https://t.co/EnIwzmOGSR,14
Sebanyak 1.168 personel gabungan TNI-Polri dikerahkan untuk melaksanakan pengamanan dan pengawalan proses distribusi Vaksin Covid-19.  #PolriKawalDistribusiVaksin https://t.co/YljKN1z0Zb,13
"Kapolda Banten Irjen Pol. Drs. Fiandar menegaskan Polri akan memberikan penjagaan dan pengawalan ketat pendistribusian 14.560 dosis vaksin Covid-19 Sinovac, Minggu (3/1).  #PolriKawalDistribusiVaksin https://t.co/kW7Izu9YYn",13
